# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-11-16
#
# GRDC-No.:              3629001
# River:                 AMAZON RIVER
# Station:               OBIDOS - LINIGRAFO
# Country:               --
# Latitude (DD):       -1.9192
# Longitude (DD):      -55.5131
# Catchment area (km²):      
# Altitude (m ASL):        37.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2020
# No. of years:          53
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 625
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1989-02-01;--:--;   -999.000; 174041.053; 100
1989-03-01;--:--;   -999.000; 206199.407; 100
1989-04-01;--:--;   -999.000; 227354.163; 100
1989-05-01;--:--;   -999.000; 237865.574; 100
1989-06-01;--:--;   -999.000; 240839.602; 100
1989-07-01;--:--;   -999.000; 232305.252; 100
1989-08-01;--:--;   -999.000; 212716.515; 100
1989-09-01;--:--;   -999.000; 179829.454; 100
1989-10-01;--:--;   -999.000; 133989.741; 100
1989-11-01;--:--;   -999.000; 126552.738; 100
1989-12-01;--:--;   -999.000; 126264.598; 100
1990-01-01;--:--;   -999.000; 121882.514; 100
1990-02-01;--:--;   -999.000; 150115.915; 100
1990-03-01;--:--;   -999.000; 189612.894; 100
1990-04-01;--:--;   -999.000; 205147.268; 100
1990-05-01;--:--;   -999.000; 214830.704; 100
1990-06-01;--:--;   -999.000; 214697.433; 100
1990-07-01;--:--;   -999.000; 206469.363; 100
1990-08-01;--:--;   -999.000; 188041.940; 100
1990-09-01;--:--;   -999.000; 151619.443; 100
1990-10-01;--:--;   -999.000; 102418.082; 100
1990-11-01;--:--;   -999.000;  89195.443; 100
1990-12-01;--:--;   -999.000; 113346.782; 100
1991-01-01;--:--;   -999.000; 147565.296; 100
1991-02-01;--:--;   -999.000; 175162.614; 100
1991-03-01;--:--;   -999.000; 180263.246; 100
1991-04-01;--:--;   -999.000; 201346.161; 100
1991-05-01;--:--;   -999.000; 216429.585; 100
1991-06-01;--:--;   -999.000; 220063.825; 100
1991-07-01;--:--;   -999.000; 209980.701; 100
1991-08-01;--:--;   -999.000; 192913.198; 100
1991-09-01;--:--;   -999.000; 155025.633; 100
1991-10-01;--:--;   -999.000; 102834.618; 100
1991-11-01;--:--;   -999.000;  83720.832; 100
1991-12-01;--:--;   -999.000;  95725.428; 100
1992-01-01;--:--;   -999.000; 108587.956; 100
1992-02-01;--:--;   -999.000; 124164.283; 100
1992-03-01;--:--;   -999.000; 144466.260; 100
1992-04-01;--:--;   -999.000; 180718.070; 100
1992-05-01;--:--;   -999.000; 188217.532; 100
1992-06-01;--:--;   -999.000; 177507.275; 100
1992-07-01;--:--;   -999.000; 157059.414; 100
1992-08-01;--:--;   -999.000; 134555.393; 100
1992-09-01;--:--;   -999.000; 113818.376; 100
1992-10-01;--:--;   -999.000; 102910.339; 100
1992-11-01;--:--;   -999.000;  93185.057; 100
1992-12-01;--:--;   -999.000; 112994.456; 100
1993-01-01;--:--;   -999.000; 145308.455; 100
1993-02-01;--:--;   -999.000; 168676.234; 100
1993-03-01;--:--;   -999.000; 194421.466; 100
1993-04-01;--:--;   -999.000; 214889.848; 100
1993-05-01;--:--;   -999.000; 224030.139; 100
1993-06-01;--:--;   -999.000; 221311.394; 100
1993-07-01;--:--;   -999.000; 210122.984; 100
1993-08-01;--:--;   -999.000; 186813.086; 100
1993-09-01;--:--;   -999.000; 149982.589; 100
1993-10-01;--:--;   -999.000; 116513.936; 100
1993-11-01;--:--;   -999.000; 111538.448; 100
1993-12-01;--:--;   -999.000; 138401.175; 100
1994-01-01;--:--;   -999.000; 170702.856; 100
1994-02-01;--:--;   -999.000; 192623.145; 100
1994-03-01;--:--;   -999.000; 211647.350; 100
1994-04-01;--:--;   -999.000; 223530.815; 100
1994-05-01;--:--;   -999.000; 230534.981; 100
1994-06-01;--:--;   -999.000; 230638.129; 100
1994-07-01;--:--;   -999.000; 224449.902; 100
1994-08-01;--:--;   -999.000; 204312.243; 100
1994-09-01;--:--;   -999.000; 174683.437; 100
1994-10-01;--:--;   -999.000; 137121.429; 100
1994-11-01;--:--;   -999.000; 111652.906; 100
1994-12-01;--:--;   -999.000; 116452.936; 100
1995-01-01;--:--;   -999.000; 142011.427; 100
1995-02-01;--:--;   -999.000; 152196.939; 100
1995-03-01;--:--;   -999.000; 163881.791; 100
1995-04-01;--:--;   -999.000; 184751.145; 100
1995-05-01;--:--;   -999.000; 206057.016; 100
1995-06-01;--:--;   -999.000; 210311.760; 100
1995-07-01;--:--;   -999.000; 198653.013; 100
1995-08-01;--:--;   -999.000; 170717.484; 100
1995-09-01;--:--;   -999.000; 110954.074; 100
1995-10-01;--:--;   -999.000;  76565.637; 100
1995-11-01;--:--;   -999.000;  80163.047; 100
1995-12-01;--:--;   -999.000; 110819.029; 100
1996-01-01;--:--;   -999.000; 137373.868; 100
1996-02-01;--:--;   -999.000; 163814.564; 100
1996-03-01;--:--;   -999.000; 193612.594; 100
1996-04-01;--:--;   -999.000; 216217.225; 100
