"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
46681484.24,-347574.78,-124288.93,17676320254.80,-12954508226.20,296.42
18623927.04,-327632.81,-93793.48,15292825222.19,-12901556221.72,296.85
17131356.28,-163175.52,141201.77,14717578884.71,-13087556278.13,296.83
58497322.07,156119.25,-125237.93,18103050525.02,-13452622247.97,297.26
60631383.67,335064.90,-384461.46,18831024194.22,-13907973178.45,296.96
-39038899.06,-62659.39,-22903.89,9849845339.38,-12257541666.83,297.32
-19262843.38,-72461.43,103315.87,8607027295.34,-9840491293.38,296.66
-23374539.42,-122272.88,245923.30,7326566075.16,-8870042830.88,296.34
29819512.70,-244249.07,147913.64,11931086326.05,-9297009117.74,296.58
61966702.72,-230484.24,-194161.18,16196432380.00,-11040049768.14,297.03
109021768.52,-91306.97,-256526.32,22010105272.87,-12093691004.90,296.70
118309070.77,2814.97,-252493.66,23242947394.60,-13120880148.16,296.33
74330943.84,-86398.46,87599.07,19054664588.58,-12592134242.18,296.10
51462703.76,-83192.17,264895.38,17036731464.72,-12181739589.37,295.99
41528352.12,-191443.72,257363.41,15288808047.47,-12998186034.42,297.21
98290476.84,179432.78,-290248.21,21279996618.16,-13604167458.14,296.80
30789922.61,218831.92,-232807.67,16969208586.62,-14138899690.78,296.93
-33286753.53,-95430.44,-7576.63,9934177314.76,-12410819456.60,297.28
-30242939.41,-154355.32,41934.82,7305790774.70,-10031400018.14,296.41
-12007992.67,-64129.93,228958.70,8299541536.21,-9212882002.99,296.31
4310924.29,-70296.08,247197.65,9275833253.10,-9714291594.15,297.02
38960556.54,-243902.43,-42434.73,15101554053.19,-11669804409.53,297.00
85274899.32,-202368.88,-133602.57,19383173683.22,-12650462032.70,296.98
76867815.85,-198197.25,-159201.23,20185813370.39,-13476725667.16,296.57
53426394.68,-252300.13,-97389.96,17233580226.01,-12840926957.01,296.90
37406179.01,-57985.24,184474.18,16535829464.94,-12320232189.82,296.49
47021202.90,-235216.49,53703.13,15966399970.94,-12821925756.57,297.72
103036273.13,286827.99,-267895.45,22357522320.28,-13848734147.62,297.11
65610197.72,333564.43,-233149.96,19202612023.73,-14126837759.62,297.18
-61536602.34,-82728.87,59642.37,7486255526.00,-12935142806.38,297.57
-50887584.71,-77741.63,11806.97,6476867815.64,-10126450968.94,296.90
-16924712.05,-189120.74,34612.06,7383055175.33,-9179418454.88,297.19
30754724.61,-192491.94,59378.92,11855884674.28,-9680974700.11,296.90
40886413.62,-193729.25,-60274.41,15155188052.59,-11761552329.63,297.04
99687081.63,-171460.63,-284732.89,20694948093.62,-12202939217.56,296.79
101969705.99,74168.85,-439431.86,22445782509.93,-13234348963.04,296.36
62540313.99,-141291.52,46201.59,18584599475.44,-12800761386.94,296.66
23817115.16,-248608.12,-33397.18,14719240755.04,-12456559080.58,297.33
12680726.55,-207844.26,-12846.11,13837493962.93,-13137597979.55,298.07
69765463.55,-129029.89,-152665.08,18979223820.73,-13826516522.95,297.58
22935940.32,188485.92,-87503.93,16599163393.29,-14042260028.86,297.18
-30574821.30,3528.45,75538.87,9333889315.37,-12272941233.20,297.55
-28244593.61,-111659.62,134641.37,8819532876.53,-10088826208.51,296.42
-29342905.36,-59662.09,124684.84,7376430462.33,-9333261515.62,296.27
4908980.28,-142843.89,287928.57,9717236561.70,-9788430682.60,297.05
59355134.25,-171239.67,-22450.32,16280855803.13,-11539239678.45,296.99
64722516.40,-143726.60,-250252.74,17822883820.39,-12791158996.85,297.33
81394103.68,-134870.85,-253678.33,19753889949.88,-13185271414.34,296.94
38211004.20,-160821.47,-31289.06,17111489346.75,-12996782215.64,296.93
43343770.00,-93990.12,72241.45,16467036994.52,-12718349295.22,297.52
25273506.74,-158288.15,84805.10,14733352426.70,-13100128518.14,297.48
31836986.90,-203147.14,-2523.56,15379918160.92,-13288823831.67,298.18
45664719.06,201858.80,-147582.94,17821408093.25,-13528565340.60,297.16
-69376377.49,-68686.53,26424.02,6475502885.52,-12124913258.23,297.41
-35535962.49,-127136.66,36196.52,6883554309.53,-9396743224.17,296.73
-11262209.36,-90061.99,55926.08,7243223695.40,-8772037667.93,296.59
