Date,Discharge [ft^3/s]
2010-05-14,1200000
2010-05-15,1230000
2010-05-16,1250000
2010-05-17,1270000
2010-05-18,1290000
2010-05-19,1300000
2010-05-20,1310000
2010-05-21,1320000
2010-05-22,1300000
2010-05-23,1290000
2010-05-24,1280000
2010-05-25,1270000
2010-05-26,1260000
2010-05-27,1250000
2010-05-28,1240000
2010-05-29,1240000
2010-05-30,1230000
2010-05-31,1210000
2010-06-01,1200000
2010-06-02,1170000
2010-06-03,1150000
2010-06-04,1120000
2010-06-05,1080000
2010-06-06,1030000
2010-06-07,979000
2010-06-08,917000
2010-06-09,856000
2010-06-10,801000
2010-06-11,780000
2010-06-12,779000
2010-06-13,791000
2010-06-14,810000
2010-06-15,810000
2010-06-16,810000
2010-06-17,818000
2010-06-18,832000
2010-06-19,846000
2010-06-20,862000
2010-06-21,880000
2010-06-22,900000
2010-06-23,919000
2010-06-24,935000
2010-06-25,943000
2010-06-26,946000
2010-06-27,945000
2010-06-28,938000
2010-06-29,934000
2010-06-30,931000
2010-07-01,930000
2010-07-02,930000
2010-07-03,928000
2010-07-04,924000
2010-07-05,919000
2010-07-06,917000
2010-07-07,918000
2010-07-08,918000
2010-07-09,917000
2010-07-10,912000
2010-07-11,906000
2010-07-12,897000
2010-07-13,886000
2010-07-14,870000
2010-07-15,858000
2010-07-16,855000
2010-07-17,852000
2010-07-18,846000
2010-07-19,839000
2010-07-20,838000
2010-07-21,835000
2010-07-22,819000
2010-07-23,798000
2010-07-24,772000
2010-07-25,744000
2010-07-26,725000
2010-07-27,720000
2010-07-28,724000
2010-07-29,733000
2010-07-30,744000
2010-07-31,750000
2010-08-01,748000
2010-08-02,741000
2010-08-03,731000
2010-08-04,717000
2010-08-05,701000
2010-08-06,693000
2010-08-07,687000
2010-08-08,684000
2010-08-09,679000
2010-08-10,675000
2010-08-11,669000
2010-08-12,659000
2010-08-13,646000
2010-08-14,634000
2010-08-15,623000
2010-08-16,611000
2010-08-17,601000
2010-08-18,595000
2010-08-19,588000
2010-08-20,583000
2010-08-21,582000
2010-08-22,583000
2010-08-23,587000
2010-08-24,586000
2010-08-25,588000
2010-08-26,596000
2010-08-27,608000
2010-08-28,614000
2010-08-29,612000
2010-08-30,605000
2010-08-31,592000
2010-09-01,578000
2010-09-02,564000
2010-09-03,545000
2010-09-04,522000
2010-09-05,499000
2010-09-06,478000
2010-09-07,455000
2010-09-08,436000
2010-09-09,425000
2010-09-10,418000
2010-09-11,424000
2010-09-12,447000
2010-09-13,469000
2010-09-14,463000
2010-09-15,442000
2010-09-16,426000
2010-09-17,416000
2010-09-18,406000
2010-09-19,400000
2010-09-20,406000
2010-09-21,413000
2010-09-22,409000
2010-09-23,399000
2010-09-24,390000
2010-09-25,387000
2010-09-26,392000
2010-09-27,400000
2010-09-28,407000
2010-09-29,416000
2010-09-30,430000
2010-10-01,446000
2010-10-02,461000
2010-10-03,471000
2010-10-04,481000
2010-10-05,484000
2010-10-06,481000
2010-10-07,475000
2010-10-08,465000
2010-10-09,454000
2010-10-10,445000
2010-10-11,436000
2010-10-12,425000
2010-10-13,417000
2010-10-14,415000
2010-10-15,418000
2010-10-16,417000
2010-10-17,418000
2010-10-18,418000
2010-10-19,417000
2010-10-20,415000
2010-10-21,410000
2010-10-22,403000
2010-10-23,396000
2010-10-24,388000
2010-10-25,381000
2010-10-26,377000
2010-10-27,374000
2010-10-28,367000
2010-10-29,361000
2010-10-30,350000
2010-10-31,337000
2010-11-01,328000
2010-11-02,326000
2010-11-03,326000
2010-11-04,325000
2010-11-05,325000
2010-11-06,323000
2010-11-07,322000
2010-11-08,321000
2010-11-09,315000
2010-11-10,306000
2010-11-11,303000
2010-11-12,302000
2010-11-13,304000
2010-11-14,308000
2010-11-15,315000
2010-11-16,319000
2010-11-17,317000
2010-11-18,317000
2010-11-19,316000
2010-11-20,317000
2010-11-21,313000
2010-11-22,311000
2010-11-23,314000
2010-11-24,322000
2010-11-25,334000
2010-11-26,343000
2010-11-27,356000
2010-11-28,366000
2010-11-29,371000
2010-11-30,381000
2010-12-01,392000
2010-12-02,422000
2010-12-03,452000
2010-12-04,472000
2010-12-05,485000
2010-12-06,497000
2010-12-07,515000
2010-12-08,541000
2010-12-09,570000
2010-12-10,598000
2010-12-11,619000
2010-12-12,627000
2010-12-13,621000
2010-12-14,604000
2010-12-15,573000
2010-12-16,539000
2010-12-17,507000
2010-12-18,481000
2010-12-19,456000
2010-12-20,435000
2010-12-21,416000
2010-12-22,405000
2010-12-23,398000
2010-12-24,397000
2010-12-25,392000
2010-12-26,388000
2010-12-27,389000
2010-12-28,384000
2010-12-29,373000
2010-12-30,365000
2010-12-31,359000
2011-01-01,365000
2011-01-02,353000
2011-01-03,345000
2011-01-04,336000
2011-01-05,325000
2011-01-06,320000
2011-01-07,325000
2011-01-08,340000
2011-01-09,366000
2011-01-10,416000
2011-01-11,466000
2011-01-12,505000
2011-01-13,532000
2011-01-14,539000
2011-01-15,531000
2011-01-16,509000
2011-01-17,481000
2011-01-18,451000
2011-01-19,420000
2011-01-20,388000
2011-01-21,362000
2011-01-22,349000
2011-01-23,342000
2011-01-24,333000
2011-01-25,324000
2011-01-26,327000
2011-01-27,324000
2011-01-28,322000
2011-01-29,318000
2011-01-30,314000
2011-01-31,315000
2011-02-01,310000
2011-02-02,305000
2011-02-03,314000
2011-02-04,330000
2011-02-05,352000
2011-02-06,359000
2011-02-07,359000
2011-02-08,362000
2011-02-09,384000
2011-02-10,421000
2011-02-11,462000
2011-02-12,497000
2011-02-13,519000
2011-02-14,522000
2011-02-15,507000
2011-02-16,487000
2011-02-17,464000
2011-02-18,441000
2011-02-19,419000
2011-02-20,399000
2011-02-21,379000
2011-02-22,356000
2011-02-23,350000
2011-02-24,367000
2011-02-25,413000
2011-02-26,485000
2011-02-27,565000
2011-02-28,648000
2011-03-01,727000
2011-03-02,795000
2011-03-03,852000
2011-03-04,900000
2011-03-05,947000
2011-03-06,988000
2011-03-07,1020000
2011-03-08,1050000
2011-03-09,1100000
2011-03-10,1140000
2011-03-11,1170000
2011-03-12,1190000
2011-03-13,1210000
2011-03-14,1230000
2011-03-15,1250000
2011-03-16,1260000
2011-03-17,1280000
2011-03-18,1300000
2011-03-19,1310000
2011-03-20,1330000
2011-03-21,1340000
2011-03-22,1350000
2011-03-23,1370000
2011-03-24,1390000
2011-03-25,1390000
2011-03-26,1400000
2011-03-27,1420000
2011-03-28,1420000
2011-03-29,1410000
2011-03-30,1410000
2011-03-31,1410000
2011-04-01,1400000
2011-04-02,1380000
2011-04-03,1350000
2011-04-04,1320000
2011-04-05,1310000
2011-04-06,1270000
2011-04-07,1220000
2011-04-08,1170000
2011-04-09,1140000
2011-04-10,1100000
2011-04-11,1060000
2011-04-12,1030000
2011-04-13,1010000
2011-04-14,991000
2011-04-15,980000
