id,year,month,qmin,qmean,qmax,mer,mtpr,mror,viwv,vilw,viiw
197,1995,5,207400,216993.548387097,225900,-167254094.321128,422311387.23276,269578585.824442,242996407.294136,310894.393292,-142031.187618
198,1995,6,217800,223240,226300,-158263032.767002,293397006.587981,200828300.100141,132936555.313514,-205365.343,100778.211642
199,1995,7,191500,206490.322580645,217500,-166700590.898488,215758555.052525,134628570.149754,52666353.465144,-570489.175991,45129.667267
200,1995,8,148600,171900,190500,-185072506.538857,152303952.557451,69561633.744815,-32800388.133664,-655492.535428,-32380.87386
201,1995,9,89610,113886,146000,-203568363.917131,255696091.870477,64488385.294619,76797108.279331,-429113.540128,-91185.765939
202,1995,10,74700,79913.8709677419,88070,-212236611.331405,285824053.258843,65381267.432273,84637503.170726,-144099.874491,-500971.595935
203,1995,11,75060,83342.6666666667,95680,-204543039.845615,433040959.518485,127615600.750012,237533657.156933,483595.385921,-793187.558653
204,1995,12,95710,114074.193548387,126900,-203266887.738806,448562473.832044,166716821.664865,256156158.319487,413247.452425,-617666.348801
205,1996,1,127000,139474.193548387,151700,-198559237.671622,477022086.120685,231132019.020579,285933524.955038,842008.238147,-491929.663748
206,1996,2,152000,164089.655172414,176700,-204248468.506057,480974717.109366,273557538.151918,287546423.664688,768068.327009,-476598.844229
207,1996,3,177300,199764.516129032,220100,-192322137.792574,511238952.619218,307128571.846182,323389131.992646,623374.668029,-727042.493325
208,1996,4,220500,232163.333333333,242400,-182988740.316894,444001472.45936,287774125.979178,270224605.952826,742837.81919,-321171.304558
209,1996,5,242100,247554.838709677,251200,-163057855.245927,418788933.722506,283867041.695542,253210845.98151,110350.701545,-49365.813912
210,1996,6,240100,246830,250200,-154755587.280286,314191723.830337,227074745.646692,144982495.423555,-1358724.88685,78995.237806
211,1996,7,217500,229477.419354839,239500,-163412767.221104,224152222.915386,135585291.066708,68271836.90358,-1188741.053965,24163.76915
212,1996,8,177400,197545.161290323,217100,-181755222.956698,242773228.567673,100732589.526086,78226930.371327,-456286.396564,-111951.801911
213,1996,9,132400,154156.666666667,177100,-203336573.956428,283588295.691242,88933043.988243,95097879.732688,-376548.100807,-343334.65381
214,1996,10,108000,114132.258064516,131000,-212290352.959863,320759439.472597,102562393.261616,119336374.050977,-205678.152326,-296389.213594
215,1996,11,106700,111783.333333333,120300,-210244897.867294,372811425.050597,112609164.294673,185742865.125661,133361.600962,-535205.713541
216,1996,12,120200,124877.419354839,128400,-207478215.441973,380653245.153455,156862529.537167,186113025.200611,226404.628025,-457781.181226
217,1997,1,128100,140680.64516129,153500,-198602462.170829,486175397.695624,222698278.037766,287484628.792942,418988.05528,-617118.265721
218,1997,2,153500,161414.285714286,170600,-190312645.271866,598111165.371548,350342358.907587,421074031.667142,770048.065368,-724075.606188
219,1997,3,168700,192558.064516129,220200,-185693622.555556,518322302.303917,373324772.152727,323161983.532454,476414.464588,-644230.306638
220,1997,4,220700,239260,253800,-185524014.045887,443570192.26464,266584322.231734,274925756.395269,335606.327315,-557467.551261
221,1997,5,254500,262361.290322581,265800,-166503810.91732,399203305.534831,277515552.079016,238449108.781366,-436117.578925,-192982.477713
222,1997,6,243900,253780,262200,-167884547.639672,212696557.829908,130196033.63613,41813107.998591,-1197752.988031,64952.231106
223,1997,7,205800,225016.129032258,242300,-168912651.062097,183680360.49788,96136882.871242,25849128.472896,-1241315.560176,7345.06788
224,1997,8,156300,182222.580645161,204500,-184419398.481723,231734357.367544,82441694.605114,59090695.939421,-996482.53183,-96910.05216
225,1997,9,94850,127158.666666667,155100,-207407933.433616,207568171.825727,56469500.483529,11384791.542477,-243382.443169,13269.80232
226,1997,10,73630,80554.5161290323,92700,-214718354.828135,224446107.986813,50517674.301307,33629892.96722,-434944.454741,-177472.03931
227,1997,11,72440,76394,85320,-206325072.886038,356704684.322122,87445617.523344,159804888.955524,-8452.848949,-316369.816149
228,1997,12,85800,94702.2580645161,107400,-208712225.080211,375086350.141553,119016078.459353,179648880.999856,-39231.973946,-268497.989194
229,1998,1,108600,118706.451612903,129900,-209201845.375166,379971074.113306,141494586.830006,182560364.553654,94544.053168,-103028.583959
230,1998,2,130500,133975,139800,-206002942.286628,486707505.755556,206411700.957707,286860507.865155,499139.998698,-557803.026379
231,1998,3,141100,153206.451612903,164600,-196979694.209592,494777858.453523,271906612.537952,300374535.0343,164459.804732,-267691.191552
232,1998,4,165600,175450,185700,-188548695.292134,493644089.346289,297683155.914088,307293354.328821,261051.217806,-415109.874651
233,1998,5,186800,199958.064516129,210600,-167255026.27511,377887465.838426,251014984.038482,202023328.841257,-651849.484804,-253070.517359
234,1998,6,209200,210043.333333333,211200,-160813745.381231,296879609.362521,191155289.323828,132073789.123982,-1374189.183639,13124.870047
235,1998,7,196600,204322.580645161,209500,-163368749.505016,225167115.22047,136009989.654303,69057602.305898,-712136.473197,-65419.228225
236,1998,8,156200,177325.806451613,195500,-183446676.814768,215706810.613742,82927059.877264,41217033.439565,-1039536.10665,-80551.812689
237,1998,9,102500,130663.333333333,154900,-203883564.646207,246387397.710378,72176149.490661,74319315.566068,-372419.426764,-451820.293098
238,1998,10,75080,86708.064516129,100600,-211760720.910848,346691341.379853,83506739.708613,159068919.453799,-144642.004863,-315897.360269
239,1998,11,75220,88092,102200,-207448001.358751,409700289.077899,125332385.806605,215047315.191661,362540.839103,-641684.045394
240,1998,12,103600,115967.741935484,120900,-209965905.38196,395129815.378925,142495849.561024,196534003.529498,42438.4688,-415647.976005
241,1999,1,121200,132996.774193548,150900,-194568442.289638,550294612.426469,286916304.331196,363122932.011341,650702.314185,-682242.752067
242,1999,2,151900,166532.142857143,185000,-199255322.278314,514872555.799197,314922736.063474,325199261.686886,749871.300182,-772874.060574
243,1999,3,188000,208587.096774194,227000,-198703359.821178,463988206.751909,267922675.768323,274027255.485413,731785.897854,-383988.404364
244,1999,4,227800,235243.333333333,243400,-178803651.975167,491776654.327713,347754610.046475,316725606.319539,146723.354512,-319930.354023
245,1999,5,244100,256367.741935484,267900,-160004314.23162,436107012.851778,310447090.688819,273543779.762496,-86650.285862,-93791.694682
246,1999,6,259400,265426.666666667,268200,-157549371.80968,310318853.859745,215485083.543621,168125637.387069,-285934.712193,67417.221348
247,1999,7,238100,249335.483870968,258400,-166429979.258858,214194035.917558,126796684.171022,43271252.186499,-1391871.06482,64658.004375
