"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
40034659.54,-175378.78,-271895.77,8472654925.78,-5942288711.79,301.01
40915028.86,-129871.40,-250201.32,11004571488.71,-7181565391.96,300.04
-4585147.37,-204510.63,-228145.60,7475222258.70,-7031547561.89,300.54
22096626.44,-152152.91,-119994.96,6765172251.14,-5710808850.11,299.89
-8075712.73,-105364.45,-130323.30,4643401453.54,-4667050841.30,298.48
-9969576.83,74832.71,94773.53,3238676671.01,-3525677206.23,295.69
-14715090.97,-85568.60,-78237.43,1503787888.35,-3131228032.55,296.64
-4825628.15,-73499.08,-40897.96,1474097957.86,-2890925086.53,297.86
-822467.38,-183001.88,-201252.03,2953567159.63,-3175858052.99,299.35
29151990.53,-281590.26,-123906.24,5369881129.18,-3843627832.53,301.36
45040897.10,-212142.84,-226880.39,5473204424.97,-4391363613.33,302.41
56599861.53,-115534.80,-281920.76,9396956627.27,-5620127880.70,300.87
71289164.29,-3011.40,-242937.80,12134055149.12,-6798928530.28,299.46
57682009.00,-117910.70,-205615.70,13219939333.72,-7514289316.48,299.47
12883952.45,-142980.61,-227295.55,9376054040.03,-7687804068.97,299.85
-8242266.93,-158950.51,-18333.52,5321617604.54,-6459529014.95,300.13
-4956473.09,7145.13,-4073.86,3978169467.50,-4799948788.36,298.36
-15972981.13,70559.48,-83126.49,2191869327.37,-3756019642.75,296.27
-19390117.84,-135433.78,-106042.02,1814476888.95,-3219293478.30,296.43
-4334459.21,8842.98,15728.63,1785624725.99,-2996832138.78,296.94
-2539235.00,-229404.68,-161496.85,2095729920.12,-3124267135.75,300.01
53490109.96,-102360.94,-381194.89,7124754212.71,-4101831263.42,301.03
18228358.92,-435887.51,-167596.05,5036704422.00,-4568875694.75,302.48
34879008.56,-318071.62,-260314.28,7832289047.00,-5348283978.67,300.76
44100368.63,-87389.30,-274037.53,9206860517.82,-5934324301.80,300.19
48833108.68,-59030.50,-247365.11,11833928323.24,-6992839459.98,299.75
23654528.08,-29133.79,-239064.00,9338138394.75,-6868787815.80,299.96
1593408.98,-151056.60,-156876.06,6021909453.29,-5941660097.26,300.04
2496820.27,-66233.65,-56379.62,4569790609.85,-4398763679.11,298.24
-10022750.97,38015.77,-53050.85,2405589675.90,-3232440031.02,296.19
-9624963.66,-113445.65,-130408.18,1256756432.94,-2758896671.39,295.54
-11629990.99,-150543.14,-75107.41,1096485556.31,-2601399184.61,299.92
5680538.95,-182866.28,-111017.73,3798259302.87,-3303009278.51,299.97
45514171.00,-329431.68,-279012.56,4646390424.90,-3634622914.18,302.03
64133433.20,13769.41,-101677.13,9190990963.66,-5001368994.19,301.13
48309124.95,-251625.84,-194078.55,8710600055.29,-5781611426.71,300.99
55716369.47,-146122.35,-289603.47,11168447385.17,-6740501995.85,299.75
52785592.12,-55719.40,-305490.16,12977508145.77,-7404554769.86,300.01
17949630.34,-170602.37,-157226.95,9943952953.74,-7360919721.09,300.10
18094581.03,-171065.50,-117633.72,7362800417.81,-6142796862.57,299.54
-21328250.71,-30677.19,-15826.32,2460991174.50,-4506360900.87,297.87
-16029415.94,-117051.16,-19921.08,868567291.06,-3272992197.94,298.00
-8982633.30,-20333.84,-56038.99,1199522333.94,-2912522059.44,297.50
-1827481.76,-159466.56,-108483.27,1953105272.73,-2789853377.39,298.96
13864540.74,-78532.81,-100962.57,4256390667.10,-3280051133.27,299.62
41025954.57,-5687.56,-359298.76,5335020043.67,-3527761803.91,300.88
66323768.18,-726.85,-401634.52,10079338654.29,-5343195830.40,301.32
37071879.85,-233368.87,-158179.81,7098179744.12,-5489135445.73,301.30
62152634.67,-119773.30,-218563.92,11402898108.29,-6277327770.17,300.12
58112439.33,13258.78,-187586.00,12561865501.92,-7219212587.51,299.73
25792503.18,-141077.10,-311605.76,10216379009.54,-7522691597.77,299.83
9037117.16,-78937.62,-173752.66,6782397792.60,-6400583933.92,299.98
3812279.96,188306.55,-84640.41,5277242933.41,-4833230701.59,296.73
8896293.04,351929.68,20819.30,3781152948.05,-3523490105.23,294.78
-3722717.77,87000.79,-51011.26,2207197919.63,-3098684138.52,294.71
-6557096.79,-44531.10,-43948.88,2552861124.42,-3253650368.87,297.29
-5986204.42,-227602.95,-78029.64,1850689299.60,-3235246376.28,299.90
39269214.35,-193309.32,-302086.74,4969733865.74,-3782634540.99,301.59
21723544.25,-242653.13,-206233.62,5608817443.75,-4616346495.51,302.56
66339095.06,-142215.21,-124765.25,10095125227.54,-5762632550.84,300.68
71788605.66,-74484.68,-295199.86,14049102103.44,-7451848749.11,299.09
43094175.60,-38982.21,-330067.76,13069024872.43,-7751665438.40,299.26
18529247.91,-116940.47,-204505.49,10313866423.16,-7590979580.61,299.38
-19871333.56,-224938.38,-115404.44,5285117352.69,-6528825940.14,299.84
-8369604.10,-31918.28,-42590.98,3847405583.93,-5010562423.79,298.35
-18269346.49,36783.73,-29200.99,1523594044.05,-3653679936.94,296.55
-14539164.84,-46520.96,-118961.87,2046428603.10,-3314171264.75,295.86
-6832505.75,-82721.73,-24701.57,1522031357.38,-3047946088.41,296.63
17861538.37,-165602.79,-137885.37,3572082533.40,-3345939196.96,300.48
31573306.04,-125017.79,-289351.48,6113428365.20,-4613776528.06,301.08
13966261.50,-243260.39,-146373.19,5343851904.25,-4814351540.37,301.58
24236701.45,-282213.28,-214342.51,7169216222.04,-5452562505.66,301.17
67008321.71,-101659.01,-189022.96,11165241955.38,-6261414051.33,299.92
47073962.65,-99482.33,-274745.07,11985777462.07,-7198573918.88,299.87
10880515.05,-83443.93,-245649.96,9454812733.87,-7633907298.54,300.14
2804546.95,27385.02,-171017.30,7519344153.41,-6350042875.12,299.01
-10415187.98,-3924.20,-71770.28,3708780603.61,-4838899659.38,298.30
-16154103.35,-68703.11,38898.70,1002546209.55,-3721360695.25,297.21
-16117427.39,-83924.23,-117303.83,2084307708.29,-3238145882.17,296.96
-15060846.40,-371095.36,-119486.75,1510656499.70,-3324439158.77,298.56
